Index	First	Last	Team	Position	ESPNRank	FPRank	Upside	Injury Status	Blurb
A JEF WR PHI	Alshon	Jeffery	PHI	WR	40	47.0	1.0	Questionable for Week 1	Long recovery from rotator cuff surgery has Week 1 status in doubt. 
B COO WR LAR	Brandin	Cooks	LAR	WR	41	48.0	-1.0		Volume likely to take hit in L.A. but should still mix in spiked weeks. 
J GOR WR CLE	Josh	Gordon	CLE	WR	34	49.0	-1.0		Classic boom-bust pick. Browns seem confident Gordon will play in ’18.
R FRE RB DEN	Royce	Freeman	DEN	RB	47	50.0	14.0		DEN likely lead RB will lose passing-down snaps to Devontae Booker.
J LAN WR CLE	Jarvis	Landry	CLE	WR	51	51.0	-2.0		Set to vacuum targets again as Browns WRs around him drop like flies. 
M ING RB NO	Mark	Ingram	NO	RB	58	52.0	4.0	Return Week 5	Suspended Weeks 1-4 (PEDs). Role all but certain to lessen upon return.
C HOG WR NE	Chris	Hogan	NE	WR	53	53.0	1.0		Last year’s WR10 in first 8 games. Will open year as Brady’s No. 1 WR. 
R WIL QB SEA	Russell	Wilson	SEA	QB	68	54.0	-0.0		‘17 was the year to buy Russ. OC, weapons, OL & regression concerns. 
D LEW RB TEN	Dion	Lewis	TEN	RB	55	55.0	2.0		Adds versatility to Titans backfield but lacks Derrick Henry scoring upside.
T BRA QB NE	Tom	Brady	NE	QB	57	56.0	-1.0		Has thrown multiple TDs and/or 300+ yards in 30 of last 36 games (83%).
M LYN RB OAK	Marshawn	Lynch	OAK	RB	49	57.0	2.0		Avg’d 4.69 yards/carry & 99.7 total yards/game over final 7 weeks. 
T COL RB ATL	Tevin	Coleman	ATL	RB	86	58.0	-4.0		Avg’d 10.7 touches/game with ATL backfield at full strength in ’17.
C NEW QB CAR	Cam	Newton	CAR	QB	66	59.0	0.0		Top-5 fantasy QB in 5-of-7 seasons. Multiple O-Line losses are concern. 
R BUR RB NE	Rex	Burkhead	NE	RB	60	60.0	4.0		Favorite to lead Patriots in touches with Sony Michel (knee) on shelf. 
C DAV WR TEN	Corey	Davis	TEN	WR	62	61.0	1.0		Brandon Marshall-level prospect out of college. Durability big concern.
G OLS TE CAR	Greg	Olsen	CAR	TE	77	62.0	-3.0		33yo played 16 games in 9 straight seasons before last year’s foot fracture.
S WAT WR KC	Sammy	Watkins	KC	WR	63	63.0	4.0		Won’t decoy in KC. 
D WAT QB HOU	Deshaun	Watson	HOU	QB	69	64.0	-3.0		Flashed outrageous ceiling, outscoring all QBs by 6 PPG in Wks 2-8.
R AND WR NYJ	Robby	Anderson	NYJ	WR	70	65.0	3.0		Was No. 12 in NFL in Air Yards. Sam Darnold looking like real deal.
J GRA TE GB	Jimmy	Graham	GB	TE	84	66.0	1.0		Has 10+ TD upside. 
M CRA WR BAL	Michael	Crabtree	BAL	WR	71	67.0	1.0		Outplayed by John Brown in camp. Still Baltimore’s best RZ threat.
E SAN WR DEN	Emmanuel	Sanders	DEN	WR	54	68.0	-1.0		Value-pick WR3. 
S MIC RB NE	Sony	Michel	NE	RB	96	69.0	1.0	Week to Week	Knee “procedure” puts Michel behind in battle for early-season snaps. 
R PEN RB SEA	Rashaad	Penny	SEA	RB	85	70.0	8.0	Questionable for Week 1	Getting outplayed by Chris Carson. Now dealing with injured hand. 
D BRE QB NO	Drew	Brees	NO	QB	128	71.0	-3.0		Led NFL in YPA (8.1). Attempts likely to rebound vs. tougher schedule. 
R WOO WR LAR	Robert	Woods	LAR	WR	65	72.0	-4.0		Avg’d career-high 65.1 yards per game in first year with Sean McVay. 
D WAL TE TEN	Delanie	Walker	TEN	TE	78	73.0	-2.0	Status uncertain	800+ yards 4 straight years. Massive positive-TD regression candidate.
E ENG TE NYG	Evan	Engram	NYG	TE	79	74.0	-4.0		Healthy returns of OBJ & Shepard + Barkley addition threaten volume.
M GOO WR SF	Marquise	Goodwin	SF	WR	72	75.0	7.0		Stark splits with/without Garcon but formed Jimmy G rapport.
I CRO RB NYJ	Isaiah	Crowell	NYJ	RB	59	76.0	-3.0		Played behind Bilal Powell in preseason opener, left with concussion. 
C KUP WR LAR	Cooper	Kupp	LAR	WR	73	77.0	-2.0		Led Rams in targets, RZ targets, yards/catch, receiving yards as rookie. 
D FUN WR CAR	Devin	Funchess	CAR	WR	64	78.0	2.0		Will face far more target competition after volume-driven breakout.
K JOH RB DET	Kerryon	Johnson	DET	RB	83	79.0	8.0		Lions likely lead runner shined in 3-down role in preseason opener. 
R COB WR GB	Randall	Cobb	GB	WR	75	80.0	0.0		Avg’d 6 catches/game with Rodgers. No. 2 among WRs in separation. 
P GAR WR SF	Pierre	Garcon	SF	WR	88	81.0	-2.0		Was on 144-target pace before 2017 neck injury. Turns 32 this month.
C WEN QB PHI	Carson	Wentz	PHI	QB	67	82.0	1.0	Questionable for Week 1	Regression candidate after league-high 7.5% TD rate, ACL & LCL tears. 
J WIL RB GB	Jamaal	Williams	GB	RB	87	83.0	4.0		Packers lead back. 
K RUD TE MIN	Kyle	Rudolph	MIN	TE	99	84.0	-3.0		15 TDs last 2 years. Kirk Cousins has targeted TEs near league-high rate. 
W FUL WR HOU	Will	Fuller	HOU	WR	74	85.0	-4.0		Runs 4.32. Watson attempted NFL-high 20% of passes 20+ yds downfield.
A LUC QB IND	Andrew	Luck	IND	QB	117	86.0	3.0		Missed ‘17 with throwing-shoulder tear. Rising as he shows health. 
K STI WR MIA	Kenny	Stills	MIA	WR	81	87.0	1.0	Status uncertain	Career-high 105 targets in ’17. Fins missing 290 targets from last year. 
K COU QB MIN	Kirk	Cousins	MIN	QB	119	88.0	-3.0		Top-8 fantasy QB1 in 3 straight years. Best weapons of career in MIN. 
C HYD RB CLE	Carlos	Hyde	CLE	RB	95	89.0	-1.0		Won’t be a true bellcow, but lead-back job seems safe over Nick Chubb. 
M STA QB DET	Matthew	Stafford	DET	QB	127	90.0	-3.0		Top 11 in pass volume 9 of last 9 years. Best 3-WR set of career.
J CRO WR WAS	Jamison	Crowder	WAS	WR	93	91.0	2.0		Slot WR in crowded pass-catcher corps. High-floor but low ceiling. 
M MAC RB IND	Marlon	Mack	IND	RB	97	92.0	13.0	Week 1	Role was shaky even before suffering multi-week hamstring strain.
R JON RB TB	Ronald	Jones	TB	RB	48	93.0	14.0		Played 1 first-team snap in preseason opener. Peyton Barber played 13.
N AGH WR PHI	Nelson	Agholor	PHI	WR	105	94.0	-4.0	Week to week	Broke out with move to the slot, running 86% of 2017 routes inside. 
C THO RB WAS	Chris	Thompson	WAS	RB	94	95.0	11.0		Derrius Guice ACL should make Skins pass-first team featuring CT. 
K BEN WR BUF	Kelvin	Benjamin	BUF	WR	76	96.0	-4.0		Volume-based WR4/flex has minimal target competition in BUF.
S SHE WR NYG	Sterling	Shepard	NYG	WR	91	97.0	-4.0		Will battle Engram & Barkley for targets behind OBJ. Low ceiling. 
B ROE QB PIT	Ben	Roethlisberger	PIT	QB	118	98.0	-2.0		26 TDs, 7 INTs, 319-yard average over final 10 starts last season.
J REE TE WAS	Jordan	Reed	WAS	TE	90	99.0	-3.0		Outlook very straightforward: Difference maker when healthy. Rarely is.
T COH RB CHI	Tarik	Cohen	CHI	RB	108	100.0	-2.0		Niche RB/WR with big-play ability likely to struggle for consistent usage. 
P RIV QB LAC	Philip	Rivers	LAC	QB	137	101.0	-4.0		Steady low-end QB1 lost TD upside when Hunter Henry tore his ACL. 
J NEL WR OAK	Jordy	Nelson	OAK	WR	92	102.0	5.0		Easily Raiders best RZ receiver. One of my favorite 10th-round picks. 
J EDE WR NE	Julian	Edelman	NE	WR	89	103.0	9.0	Return Week 5	Suspended Wks 1-4. 
T BUR TE CHI	Trey	Burton	CHI	TE	110	104.0	-1.0		Slot TE fits with Trubisky, who is most efficient attacking middle of field. 
D PAR WR MIA	DeVante	Parker	MIA	WR	103	105.0	-1.0	Questionable for Week 1	Rough camp even before broken finger. Questionable for Week 1.
D JOH RB CLE	Duke	Johnson	CLE	RB	80	106.0	2.0		Has averaged 7.9 & 9.8 touches/game in 2 years with Hue Jackson. 
C AND RB CAR	C.J.	Anderson	CAR	RB	98	107.0	5.0		
A HUR WR DAL	Allen	Hurns	DAL	WR	104	108.0	3.0	Day to Day	
J GAR QB SF	Jimmy	Garoppolo	SF	QB	138	109.0	-6.0		Was overall QB6 w/ depleted pass-catcher corps in five ‘17 starts.
M LEE WR JAC	Marqise	Lee	JAC	WR	101	110.0	5.0		6.7 targets/game last 2 years. High-floor, low-ceiling WR4/flex pick. 
P MAH QB KC	Patrick	Mahomes	KC	QB	135	111.0	-5.0		Handed keys to high-powered offense on probable shootout team. 
R MAT WR TEN	Rishard	Matthews	TEN	WR	106	112.0	1.0	Status uncertain	Mysterious “undisclosed” injury has shelved him since spring. 
K GOL WR DET	Kenny	Golladay	DET	WR	102	113.0	-0.0		6-of-28 rookie catches gained 30+ yards. Will play much bigger role. 
C CAR RB SEA	Chris	Carson	SEA	RB	61	114.0	9.0		Penciled in as Seahawks lead back over first-round pick Rashaad Penny. 
D BOO RB DEN	Devontae	Booker	DEN	RB	147	115.0	2.0		Broncos favorite for passing-down RB work behind Royce Freeman.
M RYA QB ATL	Matt	Ryan	ATL	QB	134	116.0	-4.0		2016 MVP coming off down ’17. One of my favorite bounce-back QBs. 
D NJO TE CLE	David	Njoku	CLE	TE	111	117.0	-4.0		Had Kelce-like skill set coming out of The U. 2 TDs in preseason opener.
P BAR RB TB	Peyton	Barber	TB	RB	167	118.0	2.0		Non-sexy early-down/goal-line RB remains ahead of Ronald Jones.
A SMI QB WAS	Alex	Smith	WAS	QB	139	119.0	-7.0		
J DOY TE IND	Jack	Doyle	IND	TE	120	120.0	7.0		Coming off 80-catch season. Andrew Luck’s return enhances his upside. 
J GOF QB LAR	Jared	Goff	LAR	QB	163	121.0	-6.0		5.9% TD rate likely to regress in balanced to run-first Rams offense. 
M MAR QB TEN	Marcus	Mariota	TEN	QB	140	122.0	-6.0		Buy-low QB coming off injury-plagued year w/ improved coaching. 
B POW RB NYJ	Bilal	Powell	NYJ	RB	195	123.0	6.0		Powell is headed for big role again after Elijah McGuire’s fractured foot.
T LOC WR SEA	Tyler	Lockett	SEA	WR	115	124.0	-4.0	Status uncertain	Seattle missing sixth-most targets in NFL & Doug Baldwin already hurt.
D MOO WR CAR	D.J.	Moore	CAR	WR	124	125.0	-1.0		First WR drafted reminded of Golden Tate/Pierre Garcon at Maryland. 
J DOC WR WAS	Josh	Doctson	WAS	WR	82	126.0	-6.0	Day to day	
N CHU RB CLE	Nick	Chubb	CLE	RB	107	127.0	6.0		Rookie likely needs Carlos Hyde injury to become fantasy relevant. 
D JAC WR TB	DeSean	Jackson	TB	WR	123	128.0	4.0		
G BER RB CIN	Giovani	Bernard	CIN	RB	113	129.0	-3.0		Avg’d 101.4 total yds/game last Weeks 13-17. Pushing Joe Mixon.
G KIT TE SF	George	Kittle	SF	TE	157	130.0	-4.0	Questionable for Week 1	Niners expect him back for Week 1 after suffering separated shoulder.
T MON RB GB	Ty	Montgomery	GB	RB	100	131.0	6.0		On track to open year as Packers No. 2 RB behind Jamaal Williams.
J WHI RB NE	James	White	NE	RB	114	132.0	-4.0		Sony Michel knee procedure raises White’s early-season flex appeal.
D PRE QB DAL	Dak	Prescott	DAL	QB	162	133.0	-6.0		
T EIF TE CIN	Tyler	Eifert	CIN	TE	136	134.0	0.0		
T WIL WR LAC	Tyrell	Williams	LAC	WR	228	135.0	9.0		
O HOW TE TB	O.J.	Howard	TB	TE	210	136.0	-1.0		Went 21/325/5 over final 27 targets of ’17. Monster ceiling at TE2 cost.
C CLE RB PHI	Corey	Clement	PHI	RB	155	137.0	5.0	Status uncertain	Versatile Super Bowl star is Jay Ajayi injury away from RB1/2 upside. 
L MUR RB MIN	Latavius	Murray	MIN	RB	148	138.0	6.0		Likely to keep significant role with Dalvin Cook coming off torn ACL.
P RIC WR WAS	Paul	Richardson	WAS	WR	122	139.0	-1.0		
D BRY WR FA	Dez	Bryant	FA	WR	132	140.0	18.0		
A MIL WR CHI	Anthony	Miller	CHI	WR	142	141.0	-6.0		Rookie slot WR ripping up camp. Sleeper to lead Bears in targets.
J COO TE OAK	Jared	Cook	OAK	TE	211	142.0	-4.0		Field-stretching tight end caught career-high 54 passes last season. 
M SAN WR ATL	Mohamed	Sanu	ATL	WR	116	143.0	2.0		High-efficiency slot WR needs Julio Jones injury to hit WR3 value.
C MER WR NO	Cameron	Meredith	NO	WR	121	144.0	2.0		Recent missed practices concerning coming off ACL/MCL tears.
