Index	Rank	Best	Worst	Avg	Std Dev	ADP
M RYA QB ATL	116	103	184	121.4	17.5	102.0
D NJO TE CLE	117	94	166	121.9	17.9	113.0
P BAR RB TB	118	76	169	119.5	25.3	134.0
A SMI QB WAS	119	107	157	124.3	12.8	131.0
J DOY TE IND	120	88	241	130.7	32.0	118.0
J GOF QB LAR	121	96	161	125.4	15.9	108.0
M MAR QB TEN	122	100	160	126.9	15.4	127.0
B POW RB NYJ	123	78	183	127.2	30.6	154.0
T LOC WR SEA	124	95	154	128.1	18.8	158.0
D MOO WR CAR	125	85	185	128.8	22.9	120.0
J DOC WR WAS	126	88	167	132.2	16.7	149.0
N CHU RB CLE	127	83	198	133.6	31.7	106.0
D JAC WR TB	128	91	198	132.1	29.2	187.0
G BER RB CIN	129	79	159	125.6	20.7	147.0
G KIT TE SF	130	105	170	133.7	19.5	128.0
T MON RB GB	131	81	194	136.9	32.0	123.0
J WHI RB NE	132	107	169	136.7	20.6	138.0
D PRE QB DAL	133	103	174	136.7	17.4	135.0
T EIF TE CIN	134	105	216	143.3	27.1	137.0
T WIL WR LAC	135	81	221	138.4	35.3	183.0
O HOW TE TB	136	89	189	144.1	26.0	152.0
C CLE RB PHI	137	76	193	142.6	31.8	133.0
L MUR RB MIN	138	53	204	145.5	33.9	139.0
P RIC WR WAS	139	99	186	140.5	24.6	189.0
D BRY WR FA	140	46	200	123.4	39.7	161.0
A MIL WR CHI	141	112	184	141.1	16.9	164.0
J COO TE OAK	142	89	177	147.5	22.1	188.0
M SAN WR ATL	143	110	215	149.1	29.8	170.0
C MER WR NO	144	100	213	143.6	28.8	143.0
M BRE RB SF	145	98	173	144.1	19.8	155.0
A JON RB GB	146	82	236	143.2	41.9	105.0
J BRO WR BAL	147	98	222	150.4	32.2	192.0
C CLA TE BUF	148	123	202	155.2	22.5	217.0
M WIL WR LAC	149	91	226	153.8	36.1	132.0
B BOR QB JAC	150	121	184	149.4	17.5	177.0
C BRA TE TB	151	127	198	155.4	21.9	184.0
M GAL WR DAL	152	99	216	151.3	23.7	145.0
T RID RB DET	153	105	195	156.5	26.7	168.0
T GIN WR NO	154	109	207	146.9	29.9	174.0
C RID WR ATL	155	114	211	153.8	26.6	116.0
F GOR RB MIA	156	111	191	155.1	22.7	199.0
E EBR TE IND	157	113	200	161.9	20.7	193.0
DEF JAC	158	120	229	153.1	33.4	107.0
M TRU QB CHI	159	123	214	156.4	20.6	167.0
L BLO RB DET	160	98	210	156.7	37.3	148.0
M BRY WR OAK	161	115	213	158.9	25.6	165.0
C GOD WR TB	162	118	233	163.6	33.8	180.0
D CAR QB OAK	163	130	203	162.8	18.9	130.0
DEF MIN	164	128	227	154.4	25.4	124.0
E MAN QB NYG	165	117	200	160.7	24.6	169.0
D MAR RB OAK	166	102	221	162.6	29.2	156.0
D FOR RB HOU	167	89	262	165.3	41.1	140.0
A DAL QB CIN	168	130	238	167.1	25.4	211.0
R KEL RB WAS	169	61	189	133.1	40.3	144.0
A EKE RB LAC	170	109	236	168.1	30.6	166.0
M WAL WR PHI	171	126	228	167.5	28.7	264.0
J ROS WR CIN	172	119	239	160.5	40.0	200.0
N HIN RB IND	173	128	228	171.6	26.6	150.0
K COL WR JAC	174	118	231	158.0	36.0	198.0
DEF PHI	175	137	228	165.2	23.3	129.0
Q ENU WR NYJ	176	100	242	175.4	40.5	274.0
DEF HOU	177	142	231	168.7	24.3	151.0
J WIL RB IND	178	120	209	163.1	25.8	163.0
D MON WR JAC	179	86	227	174.7	35.7	237.0
C KEE QB DEN	180	134	211	170.4	22.7	185.0
B WAT TE NO	181	141	238	175.8	23.4	210.0
D WES WR JAC	182	125	211	170.8	27.2	171.0
R GRA WR IND	183	119	235	173.1	38.9	290.0
DEF LAR	184	133	229	171.5	24.7	119.0
A HOO TE ATL	185	116	208	175.8	20.7	213.0
DEF DEN	186	133	240	171.4	26.8	157.0
C KIR WR ARI	187	132	247	170.4	30.2	196.0
C IVO RB BUF	188	126	227	176.1	27.9	235.0
R SEA TE ARI	189	107	218	175.5	30.7	216.0
K DIX RB BAL	190	112	248	170.8	39.6	218.0
A SEF TE JAC	191	134	218	178.1	23.5	182.0
D PET WR SF	192	104	260	180.9	42.8	267.0
