Index	First	Last	Suffix	Position	Team	Rank
J WHI RB NE	James	White		RB	NE	114
T LOC WR SEA	Tyler	Lockett		WR	SEA	115
M SAN WR ATL	Mohamed	Sanu		WR	ATL	116
A LUC QB IND	Andrew	Luck		QB	IND	117
B ROE QB PIT	Ben	Roethlisberger		QB	PIT	118
K COU QB MIN	Kirk	Cousins		QB	MIN	119
J DOY TE IND	Jack	Doyle		TE	IND	120
C MER WR NO	Cameron	Meredith		WR	NO	121
P RIC WR WAS	Paul	Richardson		WR	WAS	122
D JAC WR TB	DeSean	Jackson		WR	TB	123
D MOO WR CAR	D.J.	Moore		WR	CAR	124
M GAL WR DAL	Michael	Gallup		WR	DAL	125
C GOD WR TB	Chris	Godwin		WR	TB	126
M STA QB DET	Matthew	Stafford		QB	DET	127
D BRE QB NO	Drew	Brees		QB	NO	128
C RID WR ATL	Calvin	Ridley		WR	ATL	129
J ROS WR CIN	John	Ross		WR	CIN	130
D AME WR MIA	Danny	Amendola		WR	MIA	131
D BRY WR FA	Dez	Bryant		WR	FA	132
C CLA TE BUF	Charles	Clay		TE	BUF	133
M RYA QB ATL	Matt	Ryan		QB	ATL	134
P MAH QB KC	Patrick	Mahomes		QB	KC	135
T EIF TE CIN	Tyler	Eifert		TE	CIN	136
P RIV QB LAC	Philip	Rivers		QB	LAC	137
J GAR QB SF	Jimmy	Garoppolo		QB	SF	138
A SMI QB WAS	Alex	Smith		QB	WAS	139
M MAR QB TEN	Marcus	Mariota		QB	TEN	140
J BRO WR BAL	John	Brown		WR	BAL	141
A MIL WR CHI	Anthony	Miller		WR	CHI	142
J WAS WR PIT	James	Washington		WR	PIT	143
C SUT WR DEN	Courtland	Sutton		WR	DEN	144
D MON WR JAC	Donte	Moncrief		WR	JAC	145
M WIL WR LAC	Mike	Williams		WR	LAC	146
D BOO RB DEN	Devontae	Booker		RB	DEN	147
L MUR RB MIN	Latavius	Murray		RB	MIN	148
T RID RB DET	Theo	Riddick		RB	DET	149
N HIN RB IND	Nyheim	Hines		RB	IND	150
R KEL RB WAS	Rob	Kelley		RB	WAS	151
S PER RB WAS	Samaje	Perine		RB	WAS	152
D MAR RB OAK	Doug	Martin		RB	OAK	153
M BRE RB SF	Matt	Breida		RB	SF	154
C CLE RB PHI	Corey	Clement		RB	PHI	155
DEF JAC				DEF	JAC	156
G KIT TE SF	George	Kittle		TE	SF	157
