Index	First	Last	Team	Position	ESPNRank	FPRank	Std Dev	Injury Status	Blurb
A THI WR MIN	Adam	Thielen	MIN	WR	25	28.0	4.9		Elite route runner has major room for TD growth after 4-score 2017. 
S DIG WR MIN	Stefon	Diggs	MIN	WR	26	29.0	5.7		High-end WR1 whenever not battling groin injuries last two seasons. 
T HIL WR KC	Tyreek	Hill	KC	WR	27	30.0	7.4		Each of TyFreak’s last 13 touchdowns have come from 30+ yards out. 
L MCC RB BUF	LeSean	McCoy	BUF	RB	23	31.0	10.9	Status uncertain	Off-field concerns have quieted lately. Still projects for huge volume. 
A COL RB BAL	Alex	Collins	BAL	RB	45	32.0	6.8		Avg’d 19.2 touches/game from Week 8 on. Gets both starting OGs back. 
T KEL TE KC	Travis	Kelce	KC	TE	29	33.0	10.6		Kelce’s targets per game have risen 4 straight years (5.4 > 6.4 > 7.3 > 8.1). 
A COO WR OAK	Amari	Cooper	OAK	WR	33	34.0	8.7		Gruden says “main vein” of pass game, comp’d to Sterling Sharpe.
A ROB WR CHI	Allen	Robinson	CHI	WR	31	35.0	7.0		Fade at ADP. Off ACL, changing teams, hasn’t played well since 2015.
J AJA RB PHI	Jay	Ajayi	PHI	RB	46	36.0	13.1		Avg’d 15.7 touches over final 6 games. Eagles missing 190 carries from ‘17.
L FIT WR ARI	Larry	Fitzgerald	ARI	WR	28	37.0	6.7		100+ catches 3 straight years. Has minimal competition for targets. 
D HEN RB TEN	Derrick	Henry	TEN	RB	44	38.0	8.3		Monster touchdown upside vs. soft schedule with improved coaching. 
Z ERT TE PHI	Zach	Ertz	PHI	TE	30	39.0	10.0		Including playoffs, went 92/1,016/9 in 17 gms. Alshon absence would help.
A ROD QB GB	Aaron	Rodgers	GB	QB	56	40.0	37.3		40 TDs last 16 games. 
M JON WR DET	Marvin	Jones	DET	WR	35	41.0	10.7		Led NFL in yds/catch (18.0) in ‘17. Eric Ebron’s exit frees up 86 targets.
K DRA RB MIA	Kenyan	Drake	MIA	RB	43	42.0	15.0		Expected to share time with Frank Gore despite white-hot 2017 finish. 
J SMI WR PIT	JuJu	Smith-Schuster	PIT	WR	52	43.0	8.5		Safe WR2 with league-winner upside following Martavis ouster.
D THO WR DEN	Demaryius	Thomas	DEN	WR	39	44.0	11.5		Coming off 6-year lows in catch rate, yds/catch. 31 in December.
G TAT WR DET	Golden	Tate	DET	WR	42	45.0	6.8		Elite tackle breaker has 90+ catches 4 straight seasons. Contract year.
L MIL RB HOU	Lamar	Miller	HOU	RB	50	46.0	9.3		1,200+ total yards 4 straight years. D’Onta Foreman headed for PUP. 
