Index	First	Last	Position	Team	Pick	Roster
R MAT RB PHI	Ryan	Mathews	RB	PHI	59.0	2.0
D MUR RB TEN	DeMarco	Murray	RB	TEN	55.0	6.0
J LAN RB CHI	Jeremy	Langford	RB	CHI	58.0	3.0
M JON RB WAS	Matt	Jones	RB	WAS	70.0	10.0
D WAL TE TEN	Delanie	Walker	TE	TEN	57.0	4.0
A LUC QB IND	Andrew	Luck	QB	IND	52.0	9.0
A FOS RB MIA	Arian	Foster	RB	MIA	66.0	6.0
M GOR RB SD	Melvin	Gordon	RB	SD	67.0	7.0
D JOH RB CLE	Duke	Johnson	RB	CLE	79.0	2.0
D WOO RB SD	Danny	Woodhead	RB	SD	69.0	9.0
F GOR RB IND	Frank	Gore	RB	IND	63.0	3.0
R JEN RB NYG	Rashad	Jennings	RB	NYG	74.0	7.0
D BRE QB NO	Drew	Brees	QB	NO	61.0	1.0
B ROE QB PIT	Ben	Roethlisberger	QB	PIT	64.0	4.0
J MAT WR PHI	Jordan	Matthews	WR	PHI	81.0	1.0
D JAC WR WAS	DeSean	Jackson	WR	WAS	84.0	4.0
M JON WR DET	Marvin	Jones	WR	DET	77.0	4.0
T YEL RB JAC	T.J.	Yeldon	RB	JAC	82.0	2.0
G BER RB CIN	Giovani	Bernard	RB	CIN	72.0	9.0
A ABD RB DET	Ameer	Abdullah	RB	DET	71.0	10.0
C IVO RB JAC	Chris	Ivory	RB	JAC	73.0	8.0
D HEN RB TEN	Derrick	Henry	RB	TEN	83.0	3.0
C PAL QB ARI	Carson	Palmer	QB	ARI	54.0	7.0
T BRA QB NE	Tom	Brady	QB	NE	46.0	6.0
A HUR WR JAC	Allen	Hurns	WR	JAC	89.0	9.0
M CRA WR OAK	Michael	Crabtree	WR	OAK	85.0	5.0
D PAR WR MIA	DeVante	Parker	WR	MIA	92.0	9.0
T LOC WR SEA	Tyler	Lockett	WR	SEA	97.0	4.0
K WHI WR CHI	Kevin	White	WR	CHI	102.0	2.0
S SHE WR NYG	Sterling	Shepard	WR	NYG	96.0	5.0
T SMI WR SF	Torrey	Smith	WR	SF	104.0	4.0
S DIG WR MIN	Stefon	Diggs	WR	MIN	107.0	7.0
E MAN QB NYG	Eli	Manning	QB	NYG	93.0	8.0
B BOR QB JAC	Blake	Bortles	QB	JAC	94.0	7.0
P RIV QB SD	Philip	Rivers	QB	SD	91.0	10.0
T KEL TE KC	Travis	Kelce	TE	KC	76.0	5.0
C FLE TE NO	Coby	Fleener	TE	NO	80.0	1.0
T EIF TE CIN	Tyler	Eifert	TE	CIN	99.0	2.0
D WIL RB PIT	DeAngelo	Williams	RB	PIT	75.0	6.0
B POW RB NYJ	Bilal	Powell	RB	NYJ	109.0	9.0
J GOR WR CLE	Josh	Gordon	WR	CLE	78.0	3.0
W SNE WR NO	Willie	Snead	WR	NO	98.0	3.0
V JAC WR TB	Vincent	Jackson	WR	TB	112.0	9.0
T AUS WR LA	Tavon	Austin	WR	LA	90.0	10.0
J AJA RB MIA	Jay	Ajayi	RB	MIA	103.0	3.0
D FUN WR CAR	Devin	Funchess	WR	CAR	117.0	4.0
T RID RB DET	Theo	Riddick	RB	DET	119.0	2.0
J FOR RB BAL	Justin	Forsett	RB	BAL	136.0	5.0
C SIM RB TB	Charles	Sims	RB	TB	121.0	1.0
I CRO RB CLE	Isaiah	Crowell	RB	CLE	101.0	1.0
J STA RB GB	James	Starks	RB	GB	108.0	8.0
L BLO RB NE	LeGarrette	Blount	RB	NE	100.0	1.0
T COL RB ATL	Tevin	Coleman	RB	ATL		
G BAR TE CLE	Gary	Barnidge	TE	CLE	86.0	6.0
Z ERT TE PHI	Zach	Ertz	TE	PHI	87.0	7.0
A GAT TE SD	Antonio	Gates	TE	SD	88.0	8.0
C COL WR CLE	Corey	Coleman	WR	CLE	124.0	4.0
T BEN WR SD	Travis	Benjamin	WR	SD	127.0	7.0
M THO WR NO	Michael	Thomas	WR	NO	129.0	9.0
S SMI WR BAL	Steve	Smith	WR	BAL	139.0	2.0
M WHE WR PIT	Markus	Wheaton	WR	PIT		
P DOR WR IND	Phillip	Dorsett	WR	IND	137.0	4.0
C HOG WR NE	Chris	Hogan	WR	NE	113.0	8.0
K AIK WR BAL	Kamar	Aiken	WR	BAL		
B ELL WR SF	Bruce	Ellington	WR	SF		
R MAT WR TEN	Rishard	Matthews	WR	TEN		
M SAN WR ATL	Mohamed	Sanu	WR	ATL	135.0	6.0
D BOO RB DEN	Devontae	Booker	RB	DEN		
D SPR RB PHI	Darren	Sproles	RB	PHI	128.0	8.0
J WHI RB NE	James	White	RB	NE	115.0	6.0
J MCK RB MIN	Jerick	McKinnon	RB	MIN		
W FUL WR HOU	Will	Fuller	WR	HOU	123.0	3.0
T BOY WR CIN	Tyler	Boyd	WR	CIN		
C MIC RB SEA	Christine	Michael	RB	SEA	134.0	7.0
D WAS RB OAK	DeAndre	Washington	RB	OAK		
T TAY QB BUF	Tyrod	Taylor	QB	BUF	120.0	1.0
K COU QB WAS	Kirk	Cousins	QB	WAS	106.0	6.0
D CAR QB OAK	Derek	Carr	QB	OAK	116.0	5.0
M MAR QB TEN	Marcus	Mariota	QB	TEN		
S VER RB NYG	Shane	Vereen	RB	NYG		
J THO TE JAC	Julius	Thomas	TE	JAC	105.0	5.0
Z MIL TE CHI	Zach	Miller	TE	CHI	118.0	3.0
M BEN TE NE	Martellus	Bennett	TE	NE	133.0	8.0
J GRA TE SEA	Jimmy	Graham	TE	SEA	138.0	3.0
E EBR TE DET	Eric	Ebron	TE	DET		
DEF SEA			DEF	SEA	95.0	6.0
DEF DEN			DEF	DEN	114.0	7.0
DEF CAR			DEF	CAR	140.0	1.0
DEF CIN			DEF	CIN	142.0	2.0
DEF HOU			DEF	HOU		
DEF KC			DEF	KC		
DEF ARI			DEF	ARI	111.0	10.0
S GOS K NE	Stephen	Gostkowski	K	NE	68.0	8.0
DEF GB			DEF	GB		
DEF OAK			DEF	OAK		
DEF NE			DEF	NE		
S HAU K SEA	Steven	Hauschka	K	SEA	126.0	6.0
D BAI K DAL	Dan	Bailey	K	DAL		
J TUC K BAL	Justin	Tucker	K	BAL		
A VIN K IND	Adam	Vinatieri	K	IND		
M CRO K GB	Mason	Crosby	K	GB		
G GAN K CAR	Graham	Gano	K	CAR		
B WAL K MIN	Blair	Walsh	K	MIN		
C CAT K ARI	Chandler	Catanzaro	K	ARI		
M PRA K DET	Matt	Prater	K	DET		
S WAR RB KC	Spencer	Ware	RB	KC	110.0	10.0
J ALL RB BAL	Javorius	Allen	RB	BAL		
T WES RB BAL	Terrance	West	RB	BAL	122.0	2.0
C PRO RB SEA	C.J.	Prosise	RB	SEA		
K STI WR MIA	Kenny	Stills	WR	MIA		
S COA WR PIT	Sammie	Coates	WR	PIT		
M WAL WR BAL	Mike	Wallace	WR	BAL	132.0	9.0
T SHA WR TEN	Tajae	Sharpe	WR	TEN	131.0	10.0
M STA QB DET	Matthew	Stafford	QB	DET	125.0	5.0
A DAL QB CIN	Andy	Dalton	QB	CIN		
J WIN QB TB	Jameis	Winston	QB	TB	130.0	10.0
C JOH RB ARI	Chris	Johnson	RB	ARI		
J HOW RB CHI	Jordan	Howard	RB	CHI		
J WIT TE DAL	Jason	Witten	TE	DAL		
D ALL TE IND	Dwayne	Allen	TE	IND	141.0	1.0
A MOR RB DAL	Alfred	Morris	RB	DAL		
T HIG RB NO	Tim	Hightower	RB	NO		
W SMA RB PHI	Wendell	Smallwood	RB	PHI		
L TRE WR MIN	Laquon	Treadwell	WR	MIN		
J DOC WR WAS	Josh	Doctson	WR	WAS		
J STR WR HOU	Jaelen	Strong	WR	HOU		
T PRY WR CLE	Terrelle	Pryor	WR	CLE		
C JOH WR MIN	Charles	Johnson	WR	MIN		
P PER RB NYG	Paul	Perkins	RB	NYG		
N AGH WR PHI	Nelson	Agholor	WR	PHI		
D GRE WR PHI	Dorial	Green-Beckham	WR	PHI		
B PER WR BAL	Breshad	Perriman	WR	BAL		
C CLA TE BUF	Charles	Clay	TE	BUF		
DEF MIN			DEF	MIN		
DEF NYJ			DEF	NYJ		
R AGU K TB	Roberto	Aguayo	K	TB		
C BOS K PIT	Chris	Boswell	K	PIT		
R FIT QB NYJ	Ryan	Fitzpatrick	QB	NYJ		
R TAN QB MIA	Ryan	Tannehill	QB	MIA		
M RYA QB ATL	Matt	Ryan	QB	ATL		
P GAR WR WAS	Pierre	Garcon	WR	WAS		
C WAL TE OAK	Clive	Walford	TE	OAK		
A BOL WR DET	Anquan	Boldin	WR	DET		
K DIX RB BAL	Kenneth	Dixon	RB	BAL		
R BUS RB BUF	Reggie	Bush	RB	BUF		
D LEW RB NE	Dion	Lewis	RB	NE		
C WES RB KC	Charcandrick	West	RB	KC		
S DRA RB SF	Shaun	Draughn	RB	SF		
K CAR RB CHI	Ka'Deem	Carey	RB	CHI		
B CUN RB LA	Benjamin	Cunningham	RB	LA		
K DRA RB MIA	Kenyan	Drake	RB	MIA		
R TUR RB IND	Robert	Turbin	RB	IND		
C THO RB WAS	Chris	Thompson	RB	WAS		
B WAT TE BAL	Benjamin	Watson	TE	BAL		
L GRE TE PIT	Ladarius	Green	TE	PIT		
T WIL WR DAL	Terrance	Williams	WR	DAL		
J CRO WR WAS	Jamison	Crowder	WR	WAS		
K BRI WR LA	Kenny	Britt	WR	LA		
C CON WR KC	Chris	Conley	WR	KC		
D ADA WR GB	Davante	Adams	WR	GB		
B MIL WR HOU	Braxton	Miller	WR	HOU		
T GIN WR CAR	Ted	Ginn	WR	CAR		
K WRI WR TEN	Kendall	Wright	WR	TEN		
J KEA WR SEA	Jermaine	Kearse	WR	SEA		
V CRU WR NYG	Victor	Cruz	WR	NYG		
DEF BUF			DEF	BUF		
DEF LA			DEF	LA		
C SAN K KC	Cairo	Santos	K	KC		
R GOU K CHI	Robbie	Gould	K	CHI		
B OSW QB HOU	Brock	Osweiler	QB	HOU		
J FLA QB BAL	Joe	Flacco	QB	BAL		
J CAM TE MIA	Jordan	Cameron	TE	MIA		
M MIT WR NE	Malcolm	Mitchell	WR	NE		
M LEE WR JAC	Marqise	Lee	WR	JAC		
T WIL WR SD	Tyrell	Williams	WR	SD		
A WIL WR KC	Albert	Wilson	WR	KC		
L CAR WR MIA	Leonte	Carroo	WR	MIA		
J HAR WR ATL	Justin	Hardy	WR	ATL		
R WOO WR BUF	Robert	Woods	WR	BUF		
C SPI RB NO	C.J.	Spiller	RB	NO		
C ART RB CAR	Cameron	Artis-Payne	RB	CAR		
K MAR RB WAS	Keith	Marshall	RB	WAS		
M GIL RB BUF	Mike	Gillislee	RB	BUF		
A ELL RB ARI	Andre	Ellington	RB	ARI		
T ERV RB HOU	Tyler	Ervin	RB	HOU		
B OLI RB SD	Branden	Oliver	RB	SD		
K ROB RB NYJ	Khiry	Robinson	RB	NYJ		
J CUT QB CHI	Jay	Cutler	QB	CHI		
J COO TE GB	Jared	Cook	TE	GB		
A SEF TE TB	Austin	Seferian-Jenkins	TE	TB		
R HIL RB DEN	Ronnie	Hillman	RB	DEN		
D MCF RB DAL	Darren	McFadden	RB	DAL		
L DUN RB DAL	Lance	Dunbar	RB	DAL		
J NEL WR ARI	J.J.	Nelson	WR	ARI		
B LAF WR CIN	Brandon	LaFell	WR	CIN		
R HIG WR CLE	Rashard	Higgins	WR	CLE		
Q PAT WR SF	Quinton	Patton	WR	SF		
DEF IND			DEF	IND		
DEF JAC			DEF	JAC		
