Index	First	Last	Position	Team	Pick	Roster
R MAT RB PHI	Ryan	Mathews	RB	PHI	58.0	10.0
D MUR RB TEN	DeMarco	Murray	RB	TEN	43.0	6.0
J LAN RB CHI	Jeremy	Langford	RB	CHI	51.0	3.0
M JON RB WAS	Matt	Jones	RB	WAS	66.0	7.0
D WAL TE TEN	Delanie	Walker	TE	TEN	65.0	8.0
A LUC QB IND	Andrew	Luck	QB	IND	47.0	2.0
A FOS RB MIA	Arian	Foster	RB	MIA	68.0	5.0
M GOR RB SD	Melvin	Gordon	RB	SD	60.0	12.0
D JOH RB CLE	Duke	Johnson	RB	CLE	72.0	1.0
D WOO RB SD	Danny	Woodhead	RB	SD	75.0	3.0
F GOR RB IND	Frank	Gore	RB	IND	59.0	11.0
R JEN RB NYG	Rashad	Jennings	RB	NYG	74.0	2.0
D BRE QB NO	Drew	Brees	QB	NO	55.0	7.0
B ROE QB PIT	Ben	Roethlisberger	QB	PIT	67.0	6.0
J MAT WR PHI	Jordan	Matthews	WR	PHI	63.0	10.0
D JAC WR WAS	DeSean	Jackson	WR	WAS	78.0	6.0
M JON WR DET	Marvin	Jones	WR	DET	71.0	2.0
T YEL RB JAC	T.J.	Yeldon	RB	JAC	85.0	12.0
G BER RB CIN	Giovani	Bernard	RB	CIN	62.0	11.0
A ABD RB DET	Ameer	Abdullah	RB	DET	77.0	5.0
C IVO RB JAC	Chris	Ivory	RB	JAC	81.0	9.0
D HEN RB TEN	Derrick	Henry	RB	TEN	93.0	4.0
C PAL QB ARI	Carson	Palmer	QB	ARI	69.0	4.0
T BRA QB NE	Tom	Brady	QB	NE	94.0	3.0
A HUR WR JAC	Allen	Hurns	WR	JAC	76.0	4.0
M CRA WR OAK	Michael	Crabtree	WR	OAK	82.0	10.0
D PAR WR MIA	DeVante	Parker	WR	MIA	86.0	11.0
T LOC WR SEA	Tyler	Lockett	WR	SEA	79.0	7.0
K WHI WR CHI	Kevin	White	WR	CHI	96.0	1.0
S SHE WR NYG	Sterling	Shepard	WR	NYG	100.0	4.0
T SMI WR SF	Torrey	Smith	WR	SF	110.0	11.0
S DIG WR MIN	Stefon	Diggs	WR	MIN	101.0	5.0
E MAN QB NYG	Eli	Manning	QB	NYG	80.0	8.0
B BOR QB JAC	Blake	Bortles	QB	JAC	87.0	10.0
P RIV QB SD	Philip	Rivers	QB	SD	88.0	9.0
T KEL TE KC	Travis	Kelce	TE	KC	61.0	12.0
C FLE TE NO	Coby	Fleener	TE	NO	73.0	1.0
T EIF TE CIN	Tyler	Eifert	TE	CIN	98.0	2.0
D WIL RB PIT	DeAngelo	Williams	RB	PIT	99.0	3.0
B POW RB NYJ	Bilal	Powell	RB	NYJ	115.0	6.0
J GOR WR CLE	Josh	Gordon	WR	CLE	84.0	12.0
W SNE WR NO	Willie	Snead	WR	NO	103.0	7.0
V JAC WR TB	Vincent	Jackson	WR	TB	105.0	9.0
T AUS WR LA	Tavon	Austin	WR	LA	106.0	10.0
J AJA RB MIA	Jay	Ajayi	RB	MIA	109.0	12.0
D FUN WR CAR	Devin	Funchess	WR	CAR	122.0	2.0
T RID RB DET	Theo	Riddick	RB	DET	123.0	3.0
J FOR RB BAL	Justin	Forsett	RB	BAL		
C SIM RB TB	Charles	Sims	RB	TB	95.0	2.0
I CRO RB CLE	Isaiah	Crowell	RB	CLE	97.0	1.0
J STA RB GB	James	Starks	RB	GB	153.0	9.0
L BLO RB NE	LeGarrette	Blount	RB	NE	92.0	5.0
T COL RB ATL	Tevin	Coleman	RB	ATL	119.0	2.0
G BAR TE CLE	Gary	Barnidge	TE	CLE	83.0	11.0
Z ERT TE PHI	Zach	Ertz	TE	PHI	89.0	8.0
A GAT TE SD	Antonio	Gates	TE	SD	91.0	6.0
C COL WR CLE	Corey	Coleman	WR	CLE	104.0	8.0
T BEN WR SD	Travis	Benjamin	WR	SD	108.0	12.0
M THO WR NO	Michael	Thomas	WR	NO	128.0	8.0
S SMI WR BAL	Steve	Smith	WR	BAL	125.0	5.0
M WHE WR PIT	Markus	Wheaton	WR	PIT	118.0	3.0
P DOR WR IND	Phillip	Dorsett	WR	IND	127.0	7.0
C HOG WR NE	Chris	Hogan	WR	NE		
K AIK WR BAL	Kamar	Aiken	WR	BAL	124.0	4.0
B ELL WR SF	Bruce	Ellington	WR	SF		
R MAT WR TEN	Rishard	Matthews	WR	TEN	136.0	9.0
M SAN WR ATL	Mohamed	Sanu	WR	ATL	130.0	10.0
D BOO RB DEN	Devontae	Booker	RB	DEN	151.0	7.0
D SPR RB PHI	Darren	Sproles	RB	PHI	150.0	6.0
J WHI RB NE	James	White	RB	NE	142.0	3.0
J MCK RB MIN	Jerick	McKinnon	RB	MIN	144.0	1.0
W FUL WR HOU	Will	Fuller	WR	HOU	154.0	10.0
T BOY WR CIN	Tyler	Boyd	WR	CIN	149.0	5.0
C MIC RB SEA	Christine	Michael	RB	SEA	135.0	10.0
D WAS RB OAK	DeAndre	Washington	RB	OAK	147.0	3.0
T TAY QB BUF	Tyrod	Taylor	QB	BUF	102.0	6.0
K COU QB WAS	Kirk	Cousins	QB	WAS	107.0	11.0
D CAR QB OAK	Derek	Carr	QB	OAK	111.0	10.0
M MAR QB TEN	Marcus	Mariota	QB	TEN	120.0	1.0
S VER RB NYG	Shane	Vereen	RB	NYG		
J THO TE JAC	Julius	Thomas	TE	JAC	90.0	7.0
Z MIL TE CHI	Zach	Miller	TE	CHI	138.0	7.0
M BEN TE NE	Martellus	Bennett	TE	NE	116.0	5.0
J GRA TE SEA	Jimmy	Graham	TE	SEA	133.0	12.0
E EBR TE DET	Eric	Ebron	TE	DET	131.0	11.0
DEF SEA			DEF	SEA	137.0	8.0
DEF DEN			DEF	DEN	139.0	6.0
DEF CAR			DEF	CAR		
DEF CIN			DEF	CIN		
DEF HOU			DEF	HOU		
DEF KC			DEF	KC		
DEF ARI			DEF	ARI	143.0	2.0
S GOS K NE	Stephen	Gostkowski	K	NE		
DEF GB			DEF	GB		
DEF OAK			DEF	OAK		
DEF NE			DEF	NE		
S HAU K SEA	Steven	Hauschka	K	SEA		
D BAI K DAL	Dan	Bailey	K	DAL		
J TUC K BAL	Justin	Tucker	K	BAL		
A VIN K IND	Adam	Vinatieri	K	IND		
