Index	First	Last	Position	Team	Pick	Roster
K COU QB MIN	Kirk	Cousins	QB	MIN		
J DOY TE IND	Jack	Doyle	TE	IND		
C MER WR NO	Cameron	Meredith	WR	NO		
P RIC WR WAS	Paul	Richardson	WR	WAS		
D JAC WR TB	DeSean	Jackson	WR	TB		
D MOO WR CAR	D.J.	Moore	WR	CAR		
M GAL WR DAL	Michael	Gallup	WR	DAL		
C GOD WR TB	Chris	Godwin	WR	TB		
M STA QB DET	Matthew	Stafford	QB	DET		
D BRE QB NO	Drew	Brees	QB	NO		
C RID WR ATL	Calvin	Ridley	WR	ATL		
J ROS WR CIN	John	Ross	WR	CIN		
D AME WR MIA	Danny	Amendola	WR	MIA		
D BRY WR FA	Dez	Bryant	WR	FA		
C CLA TE BUF	Charles	Clay	TE	BUF		
M RYA QB ATL	Matt	Ryan	QB	ATL		
P MAH QB KC	Patrick	Mahomes	QB	KC		
T EIF TE CIN	Tyler	Eifert	TE	CIN		
P RIV QB LAC	Philip	Rivers	QB	LAC		
J GAR QB SF	Jimmy	Garoppolo	QB	SF		
A SMI QB WAS	Alex	Smith	QB	WAS		
M MAR QB TEN	Marcus	Mariota	QB	TEN		
J BRO WR BAL	John	Brown	WR	BAL		
A MIL WR CHI	Anthony	Miller	WR	CHI		
J WAS WR PIT	James	Washington	WR	PIT		
C SUT WR DEN	Courtland	Sutton	WR	DEN		
D MON WR JAC	Donte	Moncrief	WR	JAC		
M WIL WR LAC	Mike	Williams	WR	LAC		
D BOO RB DEN	Devontae	Booker	RB	DEN		
L MUR RB MIN	Latavius	Murray	RB	MIN		
T RID RB DET	Theo	Riddick	RB	DET		
N HIN RB IND	Nyheim	Hines	RB	IND		
R KEL RB WAS	Rob	Kelley	RB	WAS		
S PER RB WAS	Samaje	Perine	RB	WAS		
D MAR RB OAK	Doug	Martin	RB	OAK		
M BRE RB SF	Matt	Breida	RB	SF		
C CLE RB PHI	Corey	Clement	RB	PHI		
DEF JAC			DEF	JAC		
G KIT TE SF	George	Kittle	TE	SF		
M WAL WR PHI	Mike	Wallace	WR	PHI		
R GRA WR IND	Ryan	Grant	WR	IND		
K COL WR JAC	Keelan	Cole	WR	JAC		
A JON RB GB	Aaron	Jones	RB	GB		
D PRE QB DAL	Dak	Prescott	QB	DAL		
J GOF QB LAR	Jared	Goff	QB	LAR		
A SEF TE JAC	Austin	Seferian-Jenkins	TE	JAC		
E DEC WR NE	Eric	Decker	WR	NE		
V MCD TE PIT	Vance	McDonald	TE	PIT		
P BAR RB TB	Peyton	Barber	RB	TB		
T TAY QB CLE	Tyrod	Taylor	QB	CLE		
Q ENU WR NYJ	Quincy	Enunwa	WR	NYJ		
DEF PHI			DEF	PHI		
DEF LAR			DEF	LAR		
DEF MIN			DEF	MIN		
DEF BAL			DEF	BAL		
DEF HOU			DEF	HOU		
G ZUE K LAR	Greg	Zuerlein	K	LAR		
S GOS K NE	Stephen	Gostkowski	K	NE		
J TUC K BAL	Justin	Tucker	K	BAL		
DEF NE			DEF	NE		
DEF LAC			DEF	LAC		
DEF DEN			DEF	DEN		
DEF NO			DEF	NO		
DEF TEN			DEF	TEN		
DEF CAR			DEF	CAR		
M BRY K ATL	Matt	Bryant	K	ATL		
W LUT K NO	Wil	Lutz	K	NO		
C BOS K PIT	Chris	Boswell	K	PIT		
R GOU K SF	Robbie	Gould	K	SF		
J ELL K PHI	Jake	Elliott	K	PHI		
M PRA K DET	Matt	Prater	K	DET		
H BUT K KC	Harrison	Butker	K	KC		
A VIN K IND	Adam	Vinatieri	K	IND		
G GAN K CAR	Graham	Gano	K	CAR		
L BLO RB DET	LeGarrette	Blount	RB	DET		
J ALL RB BAL	Javorius	Allen	RB	BAL		
B POW RB NYJ	Bilal	Powell	RB	NYJ		
C BRA TE TB	Cameron	Brate	TE	TB		
B WAT TE NO	Benjamin	Watson	TE	NO		
A HOO TE ATL	Austin	Hooper	TE	ATL		
K DIX RB BAL	Kenneth	Dixon	RB	BAL		
D SPR RB PHI	Darren	Sproles	RB	PHI		
C EDM RB ARI	Chase	Edmonds	RB	ARI		
D FOR RB HOU	D'Onta	Foreman	RB	HOU		
C IVO RB BUF	Chris	Ivory	RB	BUF		
A EKE RB LAC	Austin	Ekeler	RB	LAC		
S WAR RB KC	Spencer	Ware	RB	KC		
F GOR RB MIA	Frank	Gore	RB	MIA		
E MCG RB NYJ	Elijah	McGuire	RB	NYJ		
J STE RB NYG	Jonathan	Stewart	RB	NYG		
J CON RB PIT	James	Conner	RB	PIT		
O HOW TE TB	O.J.	Howard	TE	TB		
J COO TE OAK	Jared	Cook	TE	OAK		
M TRU QB CHI	Mitchell	Trubisky	QB	CHI		
C KIR WR ARI	Christian	Kirk	WR	ARI		
C BEA WR DAL	Cole	Beasley	WR	DAL		
M BRY WR OAK	Martavis	Bryant	WR	OAK		
T GIN WR NO	Ted	Ginn	WR	NO		
T BOY WR CIN	Tyler	Boyd	WR	CIN		
T TAY WR TEN	Taywan	Taylor	WR	TEN		
A DAL QB CIN	Andy	Dalton	QB	CIN		
R TAN QB MIA	Ryan	Tannehill	QB	MIA		
DEF WAS			DEF	WAS		
DEF ARI			DEF	ARI		
D BAI K DAL	Dan	Bailey	K	DAL		
R SUC K TEN	Ryan	Succop	K	TEN		
A WIL WR MIA	Albert	Wilson	WR	MIA		
T WIL WR DAL	Terrance	Williams	WR	DAL		
W SNE WR BAL	Willie	Snead	WR	BAL		
T WIL WR LAC	Tyrell	Williams	WR	LAC		
B MAR WR SEA	Brandon	Marshall	WR	SEA		
T BEN WR LAC	Travis	Benjamin	WR	LAC		
T PRY WR NYJ	Terrelle	Pryor	WR	NYJ		
A CAL WR CLE	Antonio	Callaway	WR	CLE		
C COL WR BUF	Corey	Coleman	WR	BUF		
J KEA WR NYJ	Jermaine	Kearse	WR	NYJ		
R SMI RB DAL	Rod	Smith	RB	DAL		
T YEL RB JAC	T.J.	Yeldon	RB	JAC		
J KEL RB LAR	John	Kelly	RB	LAR		
C GRA RB JAC	Corey	Grant	RB	JAC		
A BLU RB HOU	Alfred	Blue	RB	HOU		
C PRO RB SEA	C.J.	Prosise	RB	SEA		
M WAL RB CIN	Mark	Walton	RB	CIN		
T AUS RB DAL	Tavon	Austin	RB	DAL		
E MAN QB NYG	Eli	Manning	QB	NYG		
D CAR QB OAK	Derek	Carr	QB	OAK		
J WIN QB TB	Jameis	Winston	QB	TB		
E EBR TE IND	Eric	Ebron	TE	IND		
M GES TE MIA	Mike	Gesicki	TE	MIA		
R SEA TE ARI	Ricky	Seals-Jones	TE	ARI		
A GAT TE FA	Antonio	Gates	TE	FA		
W GAL RB NYG	Wayne	Gallman	RB	NYG		
G ALL WR GB	Geronimo	Allison	WR	GB		
J MOO WR GB	J'Mon	Moore	WR	GB		
DEF ATL			DEF	ATL		
DEF DAL			DEF	DAL		
D CAR K MIN	Daniel	Carlson	K	MIN		
M CRO K GB	Mason	Crosby	K	GB		
H HUR TE BAL	Hayden	Hurst	TE	BAL		
R GRI TE HOU	Ryan	Griffin	TE	HOU		
V GRE TE LAC	Virgil	Green	TE	LAC		
M VAL WR GB	Marquez	Valdes-Scantling	WR	GB		
E ST. WR GB	Equanimeous	St.	WR	GB		
Z JON WR BUF	Zay	Jones	WR	BUF		
A HUM WR TB	Adam	Humphries	WR	TB		
J WIL RB SF	Joe	Williams	RB	SF		
C SIM RB TB	Charles	Sims	RB	TB		
C KEE QB DEN	Case	Keenum	QB	DEN		
B BOR QB JAC	Blake	Bortles	QB	JAC		
J FLA QB BAL	Joe	Flacco	QB	BAL		
S DAR QB NYJ	Sam	Darnold	QB	NYJ		
S BRA QB ARI	Sam	Bradford	QB	ARI		
K COU WR HOU	Keke	Coutee	WR	HOU		
D CHA WR JAC	D.J.	Chark	WR	JAC		
R SWI WR OAK	Ryan	Switzer	WR	OAK		
D HAM WR DEN	DaeSean	Hamilton	WR	DEN		
T SMI WR NO	Tre'Quan	Smith	WR	NO		
